season,round,lapNumber,driverId,position,time
1996,1,1,villeneuve,1,1:43.702
1996,1,1,damon_hill,2,1:44.243
1996,1,1,irvine,3,1:44.981
1996,1,1,michael_schumacher,4,1:45.188
1996,1,1,alesi,5,1:46.506
1996,1,1,hakkinen,6,1:48.430
1996,1,1,barrichello,7,1:49.058
1996,1,1,frentzen,8,1:49.468
1996,1,1,berger,9,1:49.726
1996,1,1,salo,10,1:50.436
1996,1,1,verstappen,11,1:50.930
1996,1,1,panis,12,1:51.529
1996,1,1,fisichella,13,1:52.690
1996,1,1,katayama,14,1:53.435
1996,1,1,lamy,15,1:54.047
1996,1,1,rosset,16,1:54.831
1996,1,1,diniz,17,1:56.143
1996,1,1,brundle,18,1:56.481
1996,1,1,coulthard,19,1:56.926
1996,1,2,villeneuve,1,1:37.036
1996,1,2,damon_hill,2,1:37.214
1996,1,2,michael_schumacher,3,1:37.680
1996,1,2,irvine,4,1:38.558
1996,1,2,alesi,5,1:37.554
1996,1,2,hakkinen,6,1:39.275
1996,1,2,barrichello,7,1:39.119
1996,1,2,frentzen,8,1:39.594
1996,1,2,berger,9,1:39.613
1996,1,2,salo,10,1:39.509
1996,1,2,verstappen,11,1:39.763
1996,1,2,panis,12,1:39.686
1996,1,2,fisichella,13,1:40.332
1996,1,2,katayama,14,1:40.723
1996,1,2,lamy,15,1:40.702
1996,1,2,rosset,16,1:40.693
1996,1,2,diniz,17,1:41.200
1996,1,2,coulthard,18,1:41.839
1996,1,3,villeneuve,1,1:35.959
1996,1,3,damon_hill,2,1:36.249
1996,1,3,michael_schumacher,3,1:35.759
1996,1,3,irvine,4,1:36.736
1996,1,3,alesi,5,1:36.830
1996,1,3,hakkinen,6,1:38.102
1996,1,3,barrichello,7,1:38.282
1996,1,3,berger,8,1:38.318
1996,1,3,frentzen,9,1:39.949
1996,1,3,salo,10,1:39.561
1996,1,3,verstappen,11,1:39.376
1996,1,3,panis,12,1:39.346
1996,1,3,fisichella,13,1:39.018
1996,1,3,katayama,14,1:38.735
1996,1,3,lamy,15,1:39.921
1996,1,3,rosset,16,1:39.755
1996,1,3,diniz,17,1:38.490
1996,1,3,coulthard,18,1:40.412
1996,1,4,villeneuve,1,1:35.648
1996,1,4,damon_hill,2,1:35.687
1996,1,4,michael_schumacher,3,1:35.467
1996,1,4,irvine,4,1:36.177
1996,1,4,alesi,5,1:36.437
1996,1,4,hakkinen,6,1:37.784
1996,1,4,barrichello,7,1:37.865
1996,1,4,berger,8,1:37.086
1996,1,4,frentzen,9,1:37.413
1996,1,4,salo,10,1:37.520
1996,1,4,verstappen,11,1:37.453
1996,1,4,panis,12,1:37.436
1996,1,4,fisichella,13,1:38.253
1996,1,4,katayama,14,1:38.765
1996,1,4,lamy,15,1:38.784
1996,1,4,rosset,16,1:38.698
1996,1,4,diniz,17,1:38.744
1996,1,4,coulthard,18,1:39.572
1996,1,5,villeneuve,1,1:35.223
1996,1,5,damon_hill,2,1:35.302
1996,1,5,michael_schumacher,3,1:35.254
1996,1,5,irvine,4,1:36.093
1996,1,5,alesi,5,1:35.765
1996,1,5,hakkinen,6,1:37.266
1996,1,5,barrichello,7,1:37.096
1996,1,5,berger,8,1:37.083
1996,1,5,frentzen,9,1:37.173
1996,1,5,salo,10,1:37.094
1996,1,5,verstappen,11,1:36.918
1996,1,5,panis,12,1:37.143
1996,1,5,fisichella,13,1:38.077
1996,1,5,katayama,14,1:38.460
1996,1,5,lamy,15,1:43.239
1996,1,5,diniz,16,1:42.154
1996,1,5,coulthard,17,1:40.361
1996,1,5,rosset,18,1:48.265
1996,1,6,villeneuve,1,1:35.138
1996,1,6,damon_hill,2,1:34.893
1996,1,6,michael_schumacher,3,1:35.117
1996,1,6,irvine,4,1:35.942
1996,1,6,alesi,5,1:35.754
1996,1,6,hakkinen,6,1:37.008
1996,1,6,barrichello,7,1:37.031
1996,1,6,berger,8,1:36.979
1996,1,6,frentzen,9,1:36.686
1996,1,6,salo,10,1:36.819
1996,1,6,verstappen,11,1:37.130
1996,1,6,panis,12,1:37.090
1996,1,6,fisichella,13,1:38.793
1996,1,6,katayama,14,1:37.824
1996,1,6,diniz,15,1:38.357
1996,1,6,lamy,16,1:41.113
1996,1,6,coulthard,17,1:39.281
1996,1,6,rosset,18,1:39.287
1996,1,7,villeneuve,1,1:35.287
1996,1,7,damon_hill,2,1:35.044
1996,1,7,michael_schumacher,3,1:35.023
1996,1,7,irvine,4,1:36.061
1996,1,7,alesi,5,1:36.196
1996,1,7,hakkinen,6,1:36.969
1996,1,7,barrichello,7,1:37.038
1996,1,7,berger,8,1:37.310
1996,1,7,frentzen,9,1:37.745
1996,1,7,salo,10,1:37.670
1996,1,7,verstappen,11,1:37.484
1996,1,7,panis,12,1:37.258
1996,1,7,katayama,13,1:38.857
1996,1,7,fisichella,14,1:40.310
1996,1,7,diniz,15,1:37.461
1996,1,7,lamy,16,1:40.230
1996,1,7,coulthard,17,1:39.830
1996,1,7,rosset,18,1:38.195
1996,1,8,villeneuve,1,1:35.508
1996,1,8,damon_hill,2,1:35.642
1996,1,8,michael_schumacher,3,1:35.407
1996,1,8,irvine,4,1:35.448
1996,1,8,alesi,5,1:35.519
1996,1,8,hakkinen,6,1:36.862
1996,1,8,barrichello,7,1:36.789
1996,1,8,berger,8,1:36.750
1996,1,8,frentzen,9,1:37.556
1996,1,8,salo,10,1:37.120
1996,1,8,verstappen,11,1:37.150
1996,1,8,panis,12,1:37.573
1996,1,8,katayama,13,1:38.150
1996,1,8,fisichella,14,1:39.398
1996,1,8,diniz,15,1:37.551
1996,1,8,coulthard,16,1:39.788
1996,1,8,rosset,17,1:39.390
1996,1,8,lamy,18,1:42.438
1996,1,9,villeneuve,1,1:34.781
1996,1,9,damon_hill,2,1:34.903
1996,1,9,michael_schumacher,3,1:35.198
1996,1,9,irvine,4,1:35.830
1996,1,9,alesi,5,1:35.732
1996,1,9,hakkinen,6,1:36.307
1996,1,9,barrichello,7,1:36.747
1996,1,9,berger,8,1:36.684
1996,1,9,salo,9,1:36.415
1996,1,9,frentzen,10,1:38.868
1996,1,9,verstappen,11,1:38.733
1996,1,9,panis,12,1:38.452
1996,1,9,katayama,13,1:37.962
1996,1,9,fisichella,14,1:38.911
1996,1,9,diniz,15,1:38.780
1996,1,9,coulthard,16,1:38.830
1996,1,9,rosset,17,1:38.531
1996,1,9,lamy,18,2:41.692
1996,1,10,villeneuve,1,1:34.911
1996,1,10,damon_hill,2,1:34.782
1996,1,10,michael_schumacher,3,1:35.088
1996,1,10,irvine,4,1:36.681
1996,1,10,hakkinen,5,1:36.725
1996,1,10,barrichello,6,1:36.697
1996,1,10,berger,7,1:36.813
1996,1,10,salo,8,1:35.645
1996,1,10,frentzen,9,1:37.257
1996,1,10,verstappen,10,1:37.734
1996,1,10,panis,11,1:37.724
1996,1,10,katayama,12,1:37.807
